tag_id,tag_key,zh_name,en_name,category,parent_tag_key,level,aliases_zh,aliases_en,use_for_exact_filter,use_for_fulltext,use_for_semantic,use_for_weighting,default_usage_class,default_active_input_allowed,default_reference_role,risk_level,description_zh,description_en,examples,do_not_use_for,source_basis,status
TAG_RISK_0016,risk,风险,Risk,risk,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,版权、IP、人物脸、品牌、水印、字幕、UI、隐私和风格污染。,Top-level class for Risk.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_USAGE_OUTCOME_0017,usage_outcome,使用结果与反馈,Usage Outcome and Feedback,usage_outcome,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,成功、失败、部分成功、上下文权重和使用记忆。,Top-level class for Usage Outcome and Feedback.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_WORKFLOW_STATUS_0018,workflow_status,工作流状态,Workflow Status,workflow_status,,L1,,,TRUE,TRUE,TRUE,FALSE,metadata_or_control,false,classification_root,none,导入、粗标、深标、prompt-ready、active-safe、reject 等流程状态。,Top-level class for Workflow Status.,,,PROJECT_SOURCE_SYNTHESIS,active_candidate
TAG_SOURCE_RIGHTS_0019,source_type,来源类型,Source Type,source_rights,source_rights,L2,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,,none,素材或参考片段的来源大类。,Type of source material.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0020,film,电影,Film,source_rights,source_type,L3,电影,film,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,medium,影视片段，默认仅离线语法。,影视片段，默认仅离线语法。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0021,tv,电视剧,TV,source_rights,source_type,L3,电视剧,tv,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,medium,电视剧片段，默认仅离线语法。,电视剧片段，默认仅离线语法。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0022,game_cinematic,游戏CG,Game Cinematic,source_rights,source_type,L3,游戏CG,game cinematic,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,medium,游戏演出 / CG，默认离线语法。,游戏演出 / CG，默认离线语法。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0023,gameplay,游戏实机,Gameplay,source_rights,source_type,L3,游戏实机,gameplay,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,high,游戏实机或录屏，注意 HUD / UI / IP 风险。,游戏实机或录屏，注意 HUD / UI / IP 风险。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0024,anime,动漫,Anime,source_rights,source_type,L3,动漫,anime,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,high,动漫或番剧素材，默认离线语法。,动漫或番剧素材，默认离线语法。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0025,animation,动画,Animation,source_rights,source_type,L3,动画,animation,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,medium,动画短片、CG 动画、定格动画等。,动画短片、CG 动画、定格动画等。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0026,mocap,动捕,Mocap,source_rights,source_type,L3,动捕,mocap,TRUE,TRUE,TRUE,TRUE,license_check,review_required,action_reference,medium,真人动捕或动作捕捉资料，需确认权利。,真人动捕或动作捕捉资料，需确认权利。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0027,ae_pr,AE/PR特效,AE/PR Tutorial or FX,source_rights,source_type,L3,AE/PR特效,ae/pr tutorial or fx,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,fx_reference,medium,后期教程、工程演示或特效参考，常有 UI/水印风险。,后期教程、工程演示或特效参考，常有 UI/水印风险。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0028,tutorial,教程,Tutorial,source_rights,source_type,L3,教程,tutorial,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,review_standard,medium,公开教程或软件演示，默认离线语法或 review standard。,公开教程或软件演示，默认离线语法或 review standard。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0029,self_shot,自录,Self-shot,source_rights,source_type,L3,自录,self-shot,TRUE,TRUE,TRUE,TRUE,active_input_candidate,review_required,active_candidate,low,自己拍摄或自制素材，优先作为 active input 候选。,自己拍摄或自制素材，优先作为 active input 候选。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0030,stock,素材库,Stock,source_rights,source_type,L3,素材库,stock,TRUE,TRUE,TRUE,TRUE,license_check,review_required,reference_observation,medium,购买或授权素材，需核对许可范围。,购买或授权素材，需核对许可范围。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0031,social_short,社交短视频,Social Short,source_rights,source_type,L3,社交短视频,social short,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,high,社交平台短片，默认离线语法，来源不明时高风险。,社交平台短片，默认离线语法，来源不明时高风险。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0032,unknown,未知来源,Unknown Source,source_rights,source_type,L3,未知来源,unknown source,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,risk_filter,high,来源不明，active input 禁止。,来源不明，active input 禁止。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0033,rights_status,权利状态,Rights Status,source_rights,source_rights,L2,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,,none,权利与许可状态字段。,,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0034,rights_unknown,权利未知,Unknown Rights,source_rights,rights_status,L3,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,risk_filter,high,权利未确认。,权利未确认。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0035,public_reference_only,仅公开参考,Public Reference Only,source_rights,rights_status,L3,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,reference_observation,medium,只能内部观察、抽象动作/镜头语法。,只能内部观察、抽象动作/镜头语法。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0036,licensed,已授权,Licensed,source_rights,rights_status,L3,,,TRUE,TRUE,TRUE,TRUE,license_check,review_required,active_candidate,medium,已授权但需检查是否允许 AI reference / active input。,已授权但需检查是否允许 AI reference / active input。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0037,self_owned,自有,Self Owned,source_rights,rights_status,L3,,,TRUE,TRUE,TRUE,TRUE,active_input_candidate,review_required,active_candidate,low,自有素材，低风险但仍需人工审核。,自有素材，低风险但仍需人工审核。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0038,client_owned,客户拥有,Client Owned,source_rights,rights_status,L3,,,TRUE,TRUE,TRUE,TRUE,client_approval_required,review_required,client_asset,medium,客户素材，需客户明确授权。,客户素材，需客户明确授权。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0039,restricted,受限,Restricted,source_rights,rights_status,L3,,,TRUE,TRUE,TRUE,TRUE,do_not_use_or_review_only,false,risk_filter,high,许可或来源有明确限制。,许可或来源有明确限制。,,,SAFETY_RESEARCH,candidate
TAG_SOURCE_RIGHTS_0040,prohibited,禁止使用,Prohibited,source_rights,rights_status,L3,,,TRUE,TRUE,TRUE,TRUE,do_not_use,false,risk_filter,critical,不得用于参考库工作流。,不得用于参考库工作流。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0041,usage_class,使用类别,Usage Class,usage_safety,usage_safety,L2,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,,none,决定参考视频能以何种方式参与生产。,,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0042,offline_grammar_only,仅离线语法,Offline Grammar Only,usage_safety,usage_class,L3,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,grammar_extraction,medium,只能离线观察、拆动作/运镜/特效语法，不上传模型。,只能离线观察、拆动作/运镜/特效语法，不上传模型。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0043,prompt_influence_allowed,允许转提示词,Prompt Influence Allowed,usage_safety,usage_class,L3,,,TRUE,TRUE,TRUE,TRUE,prompt_influence_allowed,false,prompt_words,low,可抽象成 prompt words / motion words / review criteria。,可抽象成 prompt words / motion words / review criteria。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0044,review_standard_only,仅审片标准,Review Standard Only,usage_safety,usage_class,L3,,,TRUE,TRUE,TRUE,TRUE,review_standard_only,false,review_standard,low,只用于审片和质量判断，不作为模型输入。,只用于审片和质量判断，不作为模型输入。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0045,active_input_allowed,允许主动输入,Active Input Allowed,usage_safety,usage_class,L3,,,TRUE,TRUE,TRUE,TRUE,active_input_allowed,true,active_reference,low,可上传给生成模型作为 active reference 的已审核状态。,可上传给生成模型作为 active reference 的已审核状态。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0046,do_not_use,禁止使用,Do Not Use,usage_safety,usage_class,L3,,,TRUE,TRUE,TRUE,TRUE,do_not_use,false,risk_filter,critical,不建议使用或必须排除。,不建议使用或必须排除。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0047,reference_scope,参考职责范围,Reference Scope,usage_safety,usage_safety,L2,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,,none,该参考只学习哪一类语法。,,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0048,action_reference_only,仅动作参考,Action Reference Only,usage_safety,reference_scope,L3,,,TRUE,TRUE,TRUE,TRUE,reference_duty,false,action_reference,none,只参考动作节奏、身体发力路径和关键姿态。,只参考动作节奏、身体发力路径和关键姿态。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0049,camera_reference_only,仅运镜参考,Camera Reference Only,usage_safety,reference_scope,L3,,,TRUE,TRUE,TRUE,TRUE,reference_duty,false,camera_reference,none,只参考镜头速度、方向、停顿与惯性。,只参考镜头速度、方向、停顿与惯性。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0050,fx_reference_only,仅特效参考,FX Reference Only,usage_safety,reference_scope,L3,,,TRUE,TRUE,TRUE,TRUE,reference_duty,false,fx_reference,none,只参考特效时序、层次和衰减方式。,只参考特效时序、层次和衰减方式。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0051,editing_reference_only,仅剪辑节奏参考,Editing Rhythm Reference Only,usage_safety,reference_scope,L3,,,TRUE,TRUE,TRUE,TRUE,reference_duty,false,editing_reference,none,只参考卡点、切点、速度变化和停顿。,只参考卡点、切点、速度变化和停顿。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0052,performance_reference_only,仅表演参考,Performance Reference Only,usage_safety,reference_scope,L3,,,TRUE,TRUE,TRUE,TRUE,reference_duty,false,performance_reference,none,只参考面部/身体/呼吸/眼神表演线索。,只参考面部/身体/呼吸/眼神表演线索。,,,SAFETY_RESEARCH,candidate
TAG_USAGE_SAFETY_0053,review_reference_only,仅审片参考,Review Reference Only,usage_safety,reference_scope,L3,,,TRUE,TRUE,TRUE,TRUE,reference_duty,false,review_standard,none,只用于判断生成结果是否达到同类效果。,只用于判断生成结果是否达到同类效果。,,,SAFETY_RESEARCH,candidate
TAG_CONTEXT_FIT_0054,project_type,项目类型,Project Type,context_fit,context_fit,L2,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,,none,生产项目或内容类型。,,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0055,wuxia_action,武侠动作,Wuxia Action,context_fit,project_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,武侠/仙侠/古风动作项目。,武侠/仙侠/古风动作项目。,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0056,product_ad,产品广告,Product Ad,context_fit,project_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,产品展示、商业广告、hero shot。,产品展示、商业广告、hero shot。,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0057,anime_fight,动漫战斗,Anime Fight,context_fit,project_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,动漫/二次元打斗风格。,动漫/二次元打斗风格。,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0058,game_skill_cast,游戏技能释放,Game Skill Cast,context_fit,project_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,游戏技能演出、前摇、释放、收招。,游戏技能演出、前摇、释放、收招。,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0059,mocap_realistic,写实动捕,Mocap Realistic,context_fit,project_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,真实动作捕捉或写实表演参考。,真实动作捕捉或写实表演参考。,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0060,vlog_travel,Vlog旅拍,Vlog Travel,context_fit,project_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,旅拍、城市、空间漫游。,旅拍、城市、空间漫游。,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0061,tutorial_demo,教程演示,Tutorial Demo,context_fit,project_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,教程拆解或软件演示类参考。,教程拆解或软件演示类参考。,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0062,scene_type,场景类型,Scene Type,context_fit,context_fit,L2,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,,none,镜头发生的空间/环境类型。,,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0063,rainy_corridor,雨夜走廊,Rainy Corridor,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,雨夜走廊场景过滤标签。,Scene filter for Rainy Corridor.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0064,temple_courtyard,古寺庭院,Temple Courtyard,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,古寺庭院场景过滤标签。,Scene filter for Temple Courtyard.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0065,dark_studio,暗棚,Dark Studio,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,暗棚场景过滤标签。,Scene filter for Dark Studio.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0066,rooftop_night,夜晚屋顶,Rooftop Night,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,夜晚屋顶场景过滤标签。,Scene filter for Rooftop Night.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0067,forest_path,森林小路,Forest Path,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,森林小路场景过滤标签。,Scene filter for Forest Path.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0068,city_street,城市街道,City Street,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,城市街道场景过滤标签。,Scene filter for City Street.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0069,interior_room,室内房间,Interior Room,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,室内房间场景过滤标签。,Scene filter for Interior Room.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0070,training_room,训练室,Training Room,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,训练室场景过滤标签。,Scene filter for Training Room.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0071,graybox_stage,灰盒舞台,Graybox Stage,context_fit,scene_type,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,灰盒舞台场景过滤标签。,Scene filter for Graybox Stage.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0072,shot_goal,镜头目标,Shot Goal,context_fit,context_fit,L2,,,TRUE,TRUE,TRUE,TRUE,offline_grammar_only,false,,none,当前镜头想完成的主要视觉任务。,,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0073,near_wall_guard_clash,近墙护架碰撞,Near-wall Guard Clash,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,近墙护架碰撞镜头目标。,Shot goal: Near-wall Guard Clash.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0074,contact_hitstop,接触停顿,Contact Hit-stop,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,接触停顿镜头目标。,Shot goal: Contact Hit-stop.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0075,knockback_aftermath,击退后果,Knockback Aftermath,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,击退后果镜头目标。,Shot goal: Knockback Aftermath.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0076,hero_reveal,主角亮相,Hero Reveal,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,主角亮相镜头目标。,Shot goal: Hero Reveal.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0077,product_hero_insert,产品主视觉插镜,Product Hero Insert,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,产品主视觉插镜镜头目标。,Shot goal: Product Hero Insert.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0078,speed_ramp_reveal,变速揭示,Speed Ramp Reveal,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,变速揭示镜头目标。,Shot goal: Speed Ramp Reveal.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0079,reaction_closeup,反应特写,Reaction Close-up,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,反应特写镜头目标。,Shot goal: Reaction Close-up.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_CONTEXT_FIT_0080,transition_bridge,转场衔接,Transition Bridge,context_fit,shot_goal,L3,,,TRUE,TRUE,TRUE,TRUE,context_filter,false,context_key,none,转场衔接镜头目标。,Shot goal: Transition Bridge.,,,FEEDBACK_RANKING_RESEARCH,candidate
TAG_ACTION_0081,combat,战斗,Combat,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,战斗动作中类。,Action class: Combat.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0082,locomotion,移动,Locomotion,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,移动动作中类。,Action class: Locomotion.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0083,guard_block,格挡防御,Guard / Block,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,格挡防御动作中类。,Action class: Guard / Block.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0084,strike,打击,Strike,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,打击动作中类。,Action class: Strike.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0085,kick,踢击,Kick,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,踢击动作中类。,Action class: Kick.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0086,dodge,闪避,Dodge,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,闪避动作中类。,Action class: Dodge.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0087,grapple,缠斗,Grapple,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,缠斗动作中类。,Action class: Grapple.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0088,fall,跌落,Fall,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,跌落动作中类。,Action class: Fall.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0089,jump,跳跃,Jump,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,跳跃动作中类。,Action class: Jump.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0090,landing,落地,Landing,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,落地动作中类。,Action class: Landing.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0091,weapon,武器动作,Weapon Action,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,武器动作动作中类。,Action class: Weapon Action.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0092,body_contact,身体接触,Body Contact,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,身体接触动作中类。,Action class: Body Contact.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0093,transformation,变身,Transformation,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,变身动作中类。,Action class: Transformation.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0094,creature_motion,生物动作,Creature Motion,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,生物动作动作中类。,Action class: Creature Motion.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0095,vehicle_motion,载具运动,Vehicle Motion,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,载具运动动作中类。,Action class: Vehicle Motion.,,,TAG_SYSTEM_RESEARCH,candidate
TAG_ACTION_0096,action_timing,动作时序,Action Timing,action,action,L2,,,TRUE,TRUE,TRUE,TRUE,action_filter,false,action_reference,none,动作时序动作中类。,Action class: Action Timing.,,,TAG_SYSTEM_RESEARCH,candidate
